HOUSEID,NAME,PRICE,ROOMS,BATHROOMS,SIZE,TYPE,SALE,LOCATION,YEAR,URL,PERMALINK
3698361,DEPARTAMENTO EN RENTA EN ZONA COUNTRY GUADALAJARA JALISCO,24500,2,2,130,APARTMENT,RENT,LOMAS DEL COUNTRY,2025,https://www.casasyterrenos.com/jalisco/guadalajara/departamentos/renta?desde=0&hasta=1000000000,www.casasyterrenos.com/propiedad/departamento-renta-plan-de-san-luis-3-lomas-del-country-guadalajara-jal-3698361
3700246,HOUSE FOR SALE COLONIA AMERICANA GUADALAJARA JALISCO,9900000,3,2,438,HOUSE,SALE,AMERICANA,2025,https://www.casasyterrenos.com/jalisco/guadalajara/casas/venta?desde=0&hasta=1000000000,www.casasyterrenos.com/propiedad/casa-venta-libertad-colonia-americana-guadalajara-jal-3700246
3700267,Departamento en RENTA amueblado en ACERVO CENTRAL LIVING,18500,2,1,65,APARTMENT,RENT,ARTESANOS,2025,https://www.casasyterrenos.com/jalisco/guadalajara/departamentos/renta?desde=0&hasta=1000000000,www.casasyterrenos.com/propiedad/departamento-renta-calz-del-federalismo-artesanos-guadalajara-jal-3700267
3705804,Inmueble Productivo En Venta En Centro De Guadalajara.,10800000,19,19,406,HOUSE,SALE,MEXICALTZINGO,2025,https://www.casasyterrenos.com/jalisco/guadalajara/casas/venta?desde=0&hasta=1000000000,www.casasyterrenos.com/propiedad/casa-venta-manzano-centro-guadalajara-mexicaltzingo-guadalajara-jal-3705804
3712381,DEPA CON 3 RECAMARAS POR LA COL. OLIMPICA Y ATLAS EN GUADALAJARA,2700000,3,2,73,APARTMENT,SALE,OLIMPICA,2025,https://www.casasyterrenos.com/jalisco/guadalajara/departamentos/venta?desde=0&hasta=1000000000,www.casasyterrenos.com/propiedad/departamento-venta-revolucion-olimpica-guadalajara-jal-3712381
3716698,SE VENDE DEPARTAMENTOS EN JARDINES DEL BOSQUE,5750000,2,2,100,APARTMENT,SALE,JARDINES DEL BOSQUE NORTE,2025,https://www.casasyterrenos.com/jalisco/guadalajara/departamentos/venta?desde=0&hasta=1000000000,www.casasyterrenos.com/propiedad/departamento-venta-av-ninos-heroes-45-colonia-jardines-del-bosque-norte-guadalajara-jal-3716698
3718301,"Casa En Renta En Lomas Del Valle, Zapopan, Jalisco",150000,4,4,900,HOUSE,RENT,LOMAS DEL VALLE,2025,https://www.casasyterrenos.com/jalisco/guadalajara/casas/renta?desde=0&hasta=1000000000,www.casasyterrenos.com/propiedad/casa-renta-paseo-del-valle-colonia-lomas-del-valle-zapopan-jal-3718301
3718304,"HERMOSA CASA EN RENTA, EN EXCLUSIVO FRACCIONAMIENTO RESIDENCIAL, PASEO DEL HELIOTROPO, COLONIA MONRAZ, GUADALAJARA, JALISCO.",45000,3,3,620,HOUSE,RENT,MONRAZ,2025,https://www.casasyterrenos.com/jalisco/guadalajara/casas/renta?desde=0&hasta=1000000000,www.casasyterrenos.com/propiedad/casa-renta-paseo-del-heliotropo-fraccionamiento-monraz-guadalajara-jal-3718304
3723322,Casa en venta en Independencia Oriente,4100000,3,3,173,HOUSE,SALE,INDEPENDENCIA ORIENTE,2025,https://www.casasyterrenos.com/jalisco/guadalajara/casas/venta?desde=0&hasta=1000000000,www.casasyterrenos.com/propiedad/casa-venta-monte-everest-independencia-oriente-guadalajara-jal-3723322
3724598,HERMOSA CASA EN CENTRO HISTORICO,14800000,6,5,647,HOUSE,SALE,GUADALAJARA CENTRO,2025,https://www.casasyterrenos.com/jalisco/guadalajara/casas/venta?desde=0&hasta=1000000000,www.casasyterrenos.com/propiedad/casa-venta-belen-guadalajara-centro-guadalajara-jal-3724598
3725053,Chapultepec Country Departamento Tipo Penthouse 2 Recamaras en Renta,40000,2,2,128,APARTMENT,RENT,CHAPULTEPEC COUNTRY,2025,https://www.casasyterrenos.com/jalisco/guadalajara/departamentos/renta?desde=0&hasta=1000000000,www.casasyterrenos.com/propiedad/departamento-renta-andres-teran-chapultepec-country-guadalajara-jal-3725053
3726809,Casa Av. Alcalde,13500000,6,2,664,HOUSE,SALE,GUADALAJARA CENTRO,2025,https://www.casasyterrenos.com/jalisco/guadalajara/casas/venta?desde=0&hasta=1000000000,www.casasyterrenos.com/propiedad/casa-venta-av-alcalde-guadalajara-centro-guadalajara-jal-3726809
3727024,Oferta Departamento en El Corazón de Guadalajara a Precio de Oportunidad,2990000,3,2,96,APARTMENT,SALE,GUADALAJARA CENTRO,2025,https://www.casasyterrenos.com/jalisco/guadalajara/departamentos/venta?desde=0&hasta=1000000000,www.casasyterrenos.com/propiedad/departamento-venta-colon-guadalajara-centro-guadalajara-jal-3727024
3728521,Casa en Renta Colomos Providencia de Lujo Cerca Andares 4 Recamaras Zapopan,74000,4,5,700,HOUSE,RENT,COLOMOS PROVIDENCIA,2025,https://www.casasyterrenos.com/jalisco/guadalajara/casas/renta?desde=0&hasta=1000000000,www.casasyterrenos.com/propiedad/casa-renta-brasilia-colomos-providencia-zapopan-jal-3728521
3729935,CASA EN VENTA JARDINES DEL BOSQUE GUADALAJARA,8190000,5,4,252,HOUSE,SALE,JARDINES DEL BOSQUE NORTE,2025,https://www.casasyterrenos.com/jalisco/guadalajara/casas/venta?desde=0&hasta=1000000000,www.casasyterrenos.com/propiedad/casa-venta-la-cauda-colonia-jardines-del-bosque-norte-guadalajara-jal-3729935
3730274,Casa en venta en Las Conchas a espaldas  de la 5 de febrero ,1900000,2,1,123,HOUSE,SALE,LAS CONCHAS,2025,https://www.casasyterrenos.com/jalisco/guadalajara/casas/venta?desde=0&hasta=1000000000,www.casasyterrenos.com/propiedad/casa-venta-calle-bugambilia-366-las-conchas-guadalajara-jal-3730274
3730604,"DEPTO AMUEBLADO COL AMERICANA, CASI NUEVO",21000,1,1,74,APARTMENT,RENT,AMERICANA,2025,https://www.casasyterrenos.com/jalisco/guadalajara/departamentos/renta?desde=0&hasta=1000000000,www.casasyterrenos.com/propiedad/departamento-renta-c-juan-ruiz-de-alarcon-colonia-americana-guadalajara-jal-3730604
3731027,DEPARTAMENTO EN RENTA EN LADRON DE GUEVARA,27000,1,1,70,APARTMENT,RENT,CHAPULTEPEC,2025,https://www.casasyterrenos.com/jalisco/guadalajara/departamentos/renta?desde=0&hasta=1000000000,www.casasyterrenos.com/propiedad/departamento-renta-justo-sierra-torre-wit-chapultepec-zapopan-jal-3731027
3731229,Excelente Departamento Amueblado Inmejorable Ubicación en La Colonia Americana,18200,2,1,77,APARTMENT,RENT,AMERICANA,2025,https://www.casasyterrenos.com/jalisco/guadalajara/departamentos/renta?desde=0&hasta=1000000000,www.casasyterrenos.com/propiedad/departamento-renta-av-la-paz-colonia-americana-guadalajara-jal-3731229
3732507,Departamento en venta en Guadalajara Centro,2790000,1,1,70,APARTMENT,SALE,GUADALAJARA CENTRO,2025,https://www.casasyterrenos.com/jalisco/guadalajara/departamentos/venta?desde=0&hasta=1000000000,www.casasyterrenos.com/propiedad/departamento-venta-juan-manuel-guadalajara-centro-guadalajara-jal-3732507
3734381,"SE VENDE CASA COLINAS DE LA NORMAL $9,450,000.00 ¡¡¡PRECIO A NEGOCIAR!!!",9450000,3,3,385,HOUSE,SALE,COLINAS DE LA NORMAL,2025,https://www.casasyterrenos.com/jalisco/guadalajara/casas/venta?desde=0&hasta=1000000000,www.casasyterrenos.com/propiedad/casa-venta-carlos-merida-colinas-de-la-normal-guadalajara-jal-3734381
3735772,OPORTUNIDAD UNICA DE CASA EN VENTA LA LOMA,5000000,4,3,207,HOUSE,SALE,LA LOMA,2025,https://www.casasyterrenos.com/jalisco/guadalajara/casas/venta?desde=0&hasta=1000000000,www.casasyterrenos.com/propiedad/casa-venta-av-revolucion-la-loma-guadalajara-jal-3735772
3736066,Departamento nuevo en venta a unos pasos del Expiatorio,3704475,1,1,76,APARTMENT,SALE,AMERICANA,2025,https://www.casasyterrenos.com/jalisco/guadalajara/departamentos/venta?desde=0&hasta=1000000000,www.casasyterrenos.com/propiedad/departamento-venta-madero-colonia-americana-guadalajara-jal-3736066
3736700,Casa en venta en el barrio de Analco Guadalajara con inquilino,3100000,4,2,246,HOUSE,SALE,ANALCO,2025,https://www.casasyterrenos.com/jalisco/guadalajara/casas/venta?desde=0&hasta=1000000000,www.casasyterrenos.com/propiedad/casa-venta-nicolas-bravo-analco-guadalajara-jal-3736700
3738413,Chapalita Casa en Renta Guadalajara,25000,3,2,140,HOUSE,RENT,CHAPALITA,2025,https://www.casasyterrenos.com/jalisco/guadalajara/casas/renta?desde=0&hasta=1000000000,www.casasyterrenos.com/propiedad/casa-renta-12-de-diciembre-colonia-chapalita-guadalajara-jal-3738413
3738573,Departamento Venta Zona Obregon,2150000,2,2,83,APARTMENT,SALE,REFORMA CENTRO,2025,https://www.casasyterrenos.com/jalisco/guadalajara/departamentos/venta?desde=0&hasta=1000000000,www.casasyterrenos.com/propiedad/departamento-venta-valentin-gomez-farias-1-reforma-centro-guadalajara-jal-3738573
3738576,Departamento Venta,2750000,3,2,100,APARTMENT,SALE,REFORMA CENTRO,2025,https://www.casasyterrenos.com/jalisco/guadalajara/departamentos/venta?desde=0&hasta=1000000000,www.casasyterrenos.com/propiedad/departamento-venta-valentin-gomez-farias-12-reforma-centro-guadalajara-jal-3738576
3738727,DEPARTAMENTO AMUEBLADO EN EL CENTRO DE GUADALAJARA,2990000,1,1,75,APARTMENT,SALE,CENTRO,2025,https://www.casasyterrenos.com/jalisco/guadalajara/departamentos/venta?desde=0&hasta=1000000000,www.casasyterrenos.com/propiedad/departamento-venta-calle-liceo-centro-guadalajara-jal-3738727
3738998,CASA EN VENTA JARDINES DEL BOSQUE GUADALAJARA,8390000,5,6,348,HOUSE,SALE,JARDINES DEL BOSQUE NORTE,2025,https://www.casasyterrenos.com/jalisco/guadalajara/casas/venta?desde=0&hasta=1000000000,www.casasyterrenos.com/propiedad/casa-venta-universo-colonia-jardines-del-bosque-norte-guadalajara-jal-3738998
3739185,Casa venta Colinas de la Normal Guadalajara,9900000,6,6,359,HOUSE,SALE,COLINAS DE LA NORMAL,2025,https://www.casasyterrenos.com/jalisco/guadalajara/casas/venta?desde=0&hasta=1000000000,www.casasyterrenos.com/propiedad/casa-venta-fray-junipero-serra-colinas-de-la-normal-guadalajara-jal-3739185
3739521,Juan Ruiz de Alarcón No. 519-1204A Coordenada Lafayette,16950,2,2,70,APARTMENT,RENT,AMERICANA,2025,https://www.casasyterrenos.com/jalisco/guadalajara/departamentos/renta?desde=0&hasta=1000000000,www.casasyterrenos.com/propiedad/departamento-renta-juan-ruiz-de-alarcon-1204a-colonia-americana-guadalajara-jal-3739521
3740197,"Casa En Venta En Ciudad Universitaria, Guadalajara.",6490000,3,2,158,HOUSE,SALE,CIUDAD UNIVERSITARIA,2025,https://www.casasyterrenos.com/jalisco/guadalajara/casas/venta?desde=0&hasta=1000000000,www.casasyterrenos.com/propiedad/casa-venta-fray-antonio-de-segovia-14-ciudad-universitaria-guadalajara-jal-3740197
3740245,Departamento amueblado en renta en Colonia Americana,22000,2,2,110,APARTMENT,RENT,AMERICANA,2025,https://www.casasyterrenos.com/jalisco/guadalajara/departamentos/renta?desde=0&hasta=1000000000,www.casasyterrenos.com/propiedad/departamento-renta-jose-guadalupe-zuno-colonia-americana-guadalajara-jal-3740245
3740750,"Casa en venta en El Retiro, Guadalajara, Jal.",4950000,2,2,236,HOUSE,SALE,EL RETIRO,2025,https://www.casasyterrenos.com/jalisco/guadalajara/casas/venta?desde=0&hasta=1000000000,www.casasyterrenos.com/propiedad/casa-venta-brillante-el-retiro-guadalajara-jal-3740750
3741006,Venta de Casa Jardines de la Victoria,12000000,5,4,786,HOUSE,SALE,JARDINES DE LA VICTORIA,2025,https://www.casasyterrenos.com/jalisco/guadalajara/casas/venta?desde=0&hasta=1000000000,www.casasyterrenos.com/propiedad/casa-venta-fresno-jardines-de-la-victoria-guadalajara-jal-3741006
3741226,"Parques Guadalajara, av. Salvador López Chávez",10000,2,2,80,APARTMENT,RENT,SAN CARLOS,2025,https://www.casasyterrenos.com/jalisco/guadalajara/departamentos/renta?desde=0&hasta=1000000000,www.casasyterrenos.com/propiedad/departamento-renta-salvador-lopez-chavez-7-san-carlos-guadalajara-jal-3741226
3742143,Casa en venta en Colonia San Juan de Dios en Sector Libertad.,3250000,7,2,264,HOUSE,SALE,SAN JUAN DE DIOS,2025,https://www.casasyterrenos.com/jalisco/guadalajara/casas/venta?desde=0&hasta=1000000000,www.casasyterrenos.com/propiedad/casa-venta-industria-san-juan-de-dios-guadalajara-jal-3742143
3742591,HOUSE FOR SALE COLONIA AMERICANA,9900000,3,2,438,HOUSE,SALE,AMERICANA,2025,https://www.casasyterrenos.com/jalisco/guadalajara/casas/venta?desde=0&hasta=1000000000,www.casasyterrenos.com/propiedad/casa-venta-libertad-colonia-americana-guadalajara-jal-3742591
3742892,DEPARTAMENTOS EN VENTA ZONA CENTRO DE GUADALAJARA CON ALBERCA.,3200000,3,2,81,APARTMENT,SALE,EL RETIRO,2025,https://www.casasyterrenos.com/jalisco/guadalajara/departamentos/venta?desde=0&hasta=1000000000,www.casasyterrenos.com/propiedad/departamento-venta-agustin-rivera-el-retiro-guadalajara-jal-3742892
3742932,Residencia en condominio privado  en  renta o venta en Colomos Providencia,30000000,4,4,450,HOUSE,SALE,COLOMOS PROVIDENCIA,2025,https://www.casasyterrenos.com/jalisco/guadalajara/casas/renta?desde=0&hasta=1000000000,www.casasyterrenos.com/propiedad/casa-venta-providencia-colomos-providencia-guadalajara-jal-3742932
3743363,Amplia casa en coto en Colomos providencia,30000000,4,4,450,HOUSE,SALE,LOCATION NOT SPECIFIED,2025,https://www.casasyterrenos.com/jalisco/guadalajara/casas/renta?desde=0&hasta=1000000000,www.casasyterrenos.com/propiedad/casa-venta-brasilia-colomos-providencia-guadalajara-jal-3743363
3743485,Departamento en Venta en Alcalde Barranquitas,2950000,1,1,55,APARTMENT,SALE,ALCALDE BARRANQUITAS,2025,https://www.casasyterrenos.com/jalisco/guadalajara/departamentos/venta?desde=0&hasta=1000000000,www.casasyterrenos.com/propiedad/departamento-venta-avenida-alcalde-alcalde-barranquitas-guadalajara-jal-3743485
3743569,Casa en RENTA o VENTA Col. Providencia calle Sicilia a media cuadra de Terranova,11400000,3,5,200,HOUSE,SALE,PROVIDENCIA 4A SECCION,2025,https://www.casasyterrenos.com/jalisco/guadalajara/casas/renta?desde=0&hasta=1000000000,www.casasyterrenos.com/propiedad/casa-venta-sicilia-providencia-4a-secc-guadalajara-jal-3743569
3743938,Departamento en Americana,26300,2,2,90,APARTMENT,RENT,AMERICANA,2025,https://www.casasyterrenos.com/jalisco/guadalajara/departamentos/renta?desde=0&hasta=1000000000,www.casasyterrenos.com/propiedad/departamento-renta-juan-manuel-1402-americana-guadalajara-jal-3743938
3744637,Casa En Renta En La Col. Américana,105000,5,5,734,HOUSE,RENT,AMERICANA,2025,https://www.casasyterrenos.com/jalisco/guadalajara/casas/renta?desde=0&hasta=1000000000,www.casasyterrenos.com/propiedad/casa-renta-jose-guadalupe-zuno-colonia-americana-guadalajara-jal-3744637
3744665,DEPARTAMENTO AMUEBLADO EN COL AMERICANA,20000,1,1,65,APARTMENT,RENT,AMERICANA,2025,https://www.casasyterrenos.com/jalisco/guadalajara/departamentos/renta?desde=0&hasta=1000000000,www.casasyterrenos.com/propiedad/departamento-renta-avenida-la-paz-americana-guadalajara-jal-3744665
3744916,ZONA CENTRO CASONA ANTIGUA DE PATIO CENTRAL.,6500000,4,1,153,HOUSE,SALE,GUADALAJARA CENTRO,2025,https://www.casasyterrenos.com/jalisco/guadalajara/casas/venta?desde=0&hasta=1000000000,www.casasyterrenos.com/propiedad/casa-venta-san-felipe-guadalajara-centro-guadalajara-jal-3744916
3747006,Casa en renta o venta  condominio privado en Colomos Providencia,30000000,4,4,450,HOUSE,SALE,LOCATION NOT SPECIFIED,2025,https://www.casasyterrenos.com/jalisco/guadalajara/casas/renta?desde=0&hasta=1000000000,www.casasyterrenos.com/propiedad/casa-venta-brasilia-colomos-providencia-guadalajara-jal-3747006
3747039,Departamento Renta Chapultepec Tribeca,4900000,3,3,130,APARTMENT,SALE,AMERICANA,2025,https://www.casasyterrenos.com/jalisco/guadalajara/departamentos/renta?desde=0&hasta=1000000000,www.casasyterrenos.com/propiedad/departamento-venta-avenida-chapultepec-sur-6-b-colonia-americana-guadalajara-jal-3747039
3747053,Oficinas Ladron de Guevara Americas,28000,5,6,264,APARTMENT,RENT,LADRON DE GUEVARA,2025,https://www.casasyterrenos.com/jalisco/guadalajara/departamentos/renta?desde=0&hasta=1000000000,www.casasyterrenos.com/propiedad/departamento-renta-aurelio-l-gallardo-ladron-de-guevara-guadalajara-jal-3747053
3747064,"Casa en venta en colonia Santa Tere Guadalajara, Jalisco",7350000,3,3,180,HOUSE,SALE,SANTA TERESITA,2025,https://www.casasyterrenos.com/jalisco/guadalajara/casas/venta?desde=0&hasta=1000000000,www.casasyterrenos.com/propiedad/casa-venta-joaquin-angulo-barrio-santa-teresita-guadalajara-jal-3747064
3747352,"Departamento en Venta Col. Alcalde, Guadalajara",2480000,2,2,70,APARTMENT,SALE,ALCALDE BARRANQUITAS,2025,https://www.casasyterrenos.com/jalisco/guadalajara/departamentos/venta?desde=0&hasta=1000000000,www.casasyterrenos.com/propiedad/departamento-venta-gabriela-mistral-alcalde-barranquitas-guadalajara-jal-3747352
3749452,Departamento amueblado en renta en la Americana,3490000,1,1,58,APARTMENT,SALE,AMERICANA,2025,https://www.casasyterrenos.com/jalisco/guadalajara/departamentos/renta?desde=0&hasta=1000000000,www.casasyterrenos.com/propiedad/departamento-venta-colonias-3b-colonia-americana-guadalajara-jal-3749452
3749981,Amplio departamento en venta frente al Expiatorio,4990000,2,2,105,APARTMENT,SALE,AMERICANA,2025,https://www.casasyterrenos.com/jalisco/guadalajara/departamentos/venta?desde=0&hasta=1000000000,www.casasyterrenos.com/propiedad/departamento-venta-madero-204-colonia-americana-guadalajara-jal-3749981
3750482,"Departamento en venta en Colonia Americana (Chapultepec), torre Trenna, Guadalajara",4290000,1,2,67,APARTMENT,SALE,AMERICANA,2025,https://www.casasyterrenos.com/jalisco/guadalajara/departamentos/renta?desde=0&hasta=1000000000,www.casasyterrenos.com/propiedad/departamento-venta-simon-bolivar-colonia-americana-guadalajara-jal-3750482
3750885,EXCELENTE CASA EN RENTA EN SANTA ELENA ALCALDE,16000,4,1,190,HOUSE,RENT,GUADALUPANA,2025,https://www.casasyterrenos.com/jalisco/guadalajara/casas/renta?desde=0&hasta=1000000000,www.casasyterrenos.com/propiedad/casa-renta-andalucia-colonia-guadalupana-guadalajara-jal-3750885
3751257,"Estudio nuevo en Renta en La Americana, Av. La Paz a dos cuadras, con elevador y terraza.",15500,1,1,60,APARTMENT,RENT,AMERICANA,2025,https://www.casasyterrenos.com/jalisco/guadalajara/departamentos/renta?desde=0&hasta=1000000000,www.casasyterrenos.com/propiedad/departamento-renta-mexicaltzingo-colonia-americana-guadalajara-jal-3751257
3751556,"RENTA CASA USO MIXTO ZONA MINERVA, ARCOS VALLARTA",35000,4,2,320,HOUSE,RENT,ARCOS VALLARTA,2025,https://www.casasyterrenos.com/jalisco/guadalajara/casas/renta?desde=0&hasta=1000000000,www.casasyterrenos.com/propiedad/casa-renta-zona-minerva-arcos-vallarta-guadalajara-jal-3751556
3751726,"DEPARTAMENTO EN VENTA A 3 KM DEL CENTRO, CERCA DEL CUCEI EN COTO PRIVADO",2149000,2,1,61,APARTMENT,SALE,SAN CARLOS,2025,https://www.casasyterrenos.com/jalisco/guadalajara/departamentos/venta?desde=0&hasta=1000000000,www.casasyterrenos.com/propiedad/departamento-venta-salvador-lopez-chavez-san-carlos-guadalajara-jal-3751726
3752037,Departamento amueblado en Venta cerca de Midtown,4590000,2,2,90,APARTMENT,SALE,AYUNTAMIENTO,2025,https://www.casasyterrenos.com/jalisco/guadalajara/departamentos/renta?desde=0&hasta=1000000000,www.casasyterrenos.com/propiedad/departamento-venta-manuel-m-dieguez-ayuntamiento-guadalajara-jal-3752037
3752268,BONITA CASA EN VENTA Colonia Independencia Oriente Guadalajara,5500000,3,4,204,HOUSE,SALE,INDEPENDENCIA ORIENTE,2025,https://www.casasyterrenos.com/jalisco/guadalajara/casas/venta?desde=0&hasta=1000000000,www.casasyterrenos.com/propiedad/casa-venta-monte-everest-independencia-oriente-guadalajara-jal-3752268
3752271,CASA EN VENTA JARDINES DEL BOSQUE,8390000,3,4,415,HOUSE,SALE,JARDINES DEL BOSQUE NORTE,2025,https://www.casasyterrenos.com/jalisco/guadalajara/casas/venta?desde=0&hasta=1000000000,www.casasyterrenos.com/propiedad/casa-venta-fuego-colonia-jardines-del-bosque-norte-guadalajara-jal-3752271
3752331,DEPARTAMENTOS EN PREVENTA EN NACION MEXICALTZINGO - CENTRO DE GDL,3407735,1,1,55,APARTMENT,SALE,MEXICALTZINGO,2025,https://www.casasyterrenos.com/jalisco/guadalajara/departamentos/venta?desde=0&hasta=1000000000,www.casasyterrenos.com/propiedad/departamento-venta-calle-donato-guerra-mexicaltzingo-guadalajara-jal-3752331
3752420,CASA EN VENTA JUAN DE DIOS ROBLEDO USO HABITACIONAL VERTICAL GUADALAJARA,14650000,3,3,486,HOUSE,SALE,LA PENAL,2025,https://www.casasyterrenos.com/jalisco/guadalajara/casas/venta?desde=0&hasta=1000000000,www.casasyterrenos.com/propiedad/casa-venta-juan-de-dios-robledo-la-penal-guadalajara-jal-3752420
3752981,"Casa en venta a precio negociable en Colonia Analco, Guadalajara",5700000,6,2,470,HOUSE,SALE,ANALCO,2025,https://www.casasyterrenos.com/jalisco/guadalajara/casas/venta?desde=0&hasta=1000000000,www.casasyterrenos.com/propiedad/casa-venta-cuauhtemoc-analco-guadalajara-jal-3752981
3753108,"CASA EN RENTA PARA FINES COMERCIALES, COL. CHAPALITA",48500,6,2,250,HOUSE,RENT,CHAPALITA,2025,https://www.casasyterrenos.com/jalisco/guadalajara/casas/renta?desde=0&hasta=1000000000,www.casasyterrenos.com/propiedad/casa-renta-capuchinas-colonia-chapalita-guadalajara-jal-3753108
3753207,Departamento Venta Torres del Parque,5200000,3,2,126,APARTMENT,SALE,ALCALDE BARRANQUITAS,2025,https://www.casasyterrenos.com/jalisco/guadalajara/departamentos/venta?desde=0&hasta=1000000000,www.casasyterrenos.com/propiedad/departamento-venta-gabriela-mistral-alcalde-barranquitas-guadalajara-jal-3753207
3753353,SE RENTA CASA EN COL. ATEMAJAC,14000,4,2,239,HOUSE,RENT,ATEMAJAC DEL VALLE,2025,https://www.casasyterrenos.com/jalisco/guadalajara/casas/renta?desde=0&hasta=1000000000,www.casasyterrenos.com/propiedad/casa-renta-fray-servando-teresa-de-mier-atemajac-del-valle-zapopan-jal-3753353
3753364,Fray Antonio de Segovia No. 400 Int. 11,1790000,2,1,64,APARTMENT,SALE,MAGAÑA,2025,https://www.casasyterrenos.com/jalisco/guadalajara/departamentos/venta?desde=0&hasta=1000000000,www.casasyterrenos.com/propiedad/departamento-venta-fray-antonio-de-segovia-11-colonia-magana-guadalajara-jal-3753364
3753761,Casa en Venta en Alcalde Barranquitas,6000000,5,5,160,HOUSE,SALE,ALCALDE BARRANQUITAS,2025,https://www.casasyterrenos.com/jalisco/guadalajara/casas/venta?desde=0&hasta=1000000000,www.casasyterrenos.com/propiedad/casa-venta-jose-maria-arreola-alcalde-barranquitas-guadalajara-jal-3753761
3753883,CASA en VENTA FRENTE a HOSPITAL CIVIL NUEVO,2480000,2,2,81,HOUSE,SALE,LA PERLA,2025,https://www.casasyterrenos.com/jalisco/guadalajara/casas/venta?desde=0&hasta=1000000000,www.casasyterrenos.com/propiedad/casa-venta-salvador-quevedo-y-zubieta-7-la-perla-guadalajara-jal-3753883
3754300,"Hermosa casa en renta, cerca de Plaza México.",50000,3,4,385,HOUSE,RENT,RINCONADA SANTA RITA,2025,https://www.casasyterrenos.com/jalisco/guadalajara/casas/renta?desde=0&hasta=1000000000,www.casasyterrenos.com/propiedad/casa-renta-rinconada-del-cerezo-rinconada-santa-rita-guadalajara-jal-3754300
